epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,7171.24,1.06857,0.60472,1.0272,0.96074,0.92192,0.95804,0.68631,1.13441,0.57384,0.95703,0.005314,0.005314,0.005314
144,7221.33,1.05523,0.60443,1.01745,0.96449,0.92123,0.95984,0.68884,1.1314,0.58329,0.96057,0.005281,0.005281,0.005281
145,7271.36,1.05922,0.61002,1.01334,0.95325,0.93208,0.96336,0.69225,1.10884,0.58237,0.95625,0.005248,0.005248,0.005248
146,7321.44,1.0509,0.59984,1.01525,0.95911,0.92372,0.96418,0.69133,1.12438,0.58879,0.95922,0.005215,0.005215,0.005215
147,7371.45,1.04761,0.5953,1.01691,0.95492,0.93094,0.95991,0.69258,1.11989,0.5856,0.96087,0.005182,0.005182,0.005182
148,7421.52,1.0583,0.60244,1.0186,0.95277,0.93436,0.96155,0.69391,1.1131,0.58361,0.96272,0.005149,0.005149,0.005149
149,7471.6,1.05485,0.60097,1.01494,0.95669,0.9204,0.9608,0.69307,1.11322,0.57159,0.96228,0.005116,0.005116,0.005116
150,7521.62,1.05039,0.59328,1.01521,0.96595,0.92297,0.95885,0.69311,1.10083,0.57248,0.95844,0.005083,0.005083,0.005083
151,7571.64,1.05474,0.59285,1.01915,0.95843,0.93436,0.96239,0.69085,1.11726,0.5686,0.9572,0.00505,0.00505,0.00505
152,7621.82,1.06266,0.60189,1.02082,0.95665,0.92922,0.96328,0.69386,1.11541,0.56999,0.95878,0.005017,0.005017,0.005017
153,7671.94,1.04774,0.59171,1.01149,0.96431,0.92544,0.962,0.69579,1.10722,0.57107,0.95621,0.004984,0.004984,0.004984
154,7722.02,1.04951,0.59653,1.01369,0.9511,0.9326,0.96392,0.69547,1.10297,0.5783,0.9535,0.004951,0.004951,0.004951
155,7772.16,1.05204,0.59209,1.0203,0.9536,0.93836,0.96442,0.69588,1.10908,0.56875,0.95794,0.004918,0.004918,0.004918
156,7822.38,1.04685,0.58953,1.00696,0.96305,0.93721,0.9652,0.69556,1.11032,0.56919,0.9584,0.004885,0.004885,0.004885
157,7872.49,1.04862,0.59189,1.01772,0.96771,0.9355,0.96563,0.69547,1.10835,0.55501,0.95444,0.004852,0.004852,0.004852
158,7922.54,1.03753,0.5869,1.01182,0.96909,0.93322,0.9674,0.69636,1.11263,0.55206,0.95332,0.004819,0.004819,0.004819
159,7972.67,1.03603,0.58796,1.01209,0.96805,0.93388,0.96734,0.69235,1.11972,0.56406,0.95484,0.004786,0.004786,0.004786
160,8022.76,1.02477,0.58698,1.01309,0.95898,0.93607,0.96806,0.69404,1.11345,0.56144,0.95715,0.004753,0.004753,0.004753
